03_21-14_16_27.669431,812,497
03_21-14_16_27.670436,810,495
03_21-14_16_27.671430,810,493
03_21-14_16_27.672437,813,494
03_21-14_16_27.673428,808,496
03_21-14_16_27.674432,814,494
03_21-14_16_27.675446,808,491
03_21-14_16_27.677426,817,484
03_21-14_16_27.678426,806,477
03_21-14_16_27.679426,816,469
03_21-14_16_27.680429,805,463
03_21-14_16_27.681426,815,457
03_21-14_16_27.682429,803,454
03_21-14_16_27.683430,81807,496
03_21-14_16_27.684422,812,497
03_21-14_16_27.685422,810,495
03_21-14_16_27.686422,810,493
03_21-14_16_27.687435,813,494
03_21-14_16_27.688422,808,496
03_21-14_16_27.692466,814,494
03_21-14_16_27.694466,808,491
03_21-14_16_27.695479,817,484
03_21-14_16_27.697463,806,477
03_21-14_16_27.698463,816,469
03_21-14_16_27.699462,805,463
03_21-14_16_27.700461,815,457
03_21-14_16_27.702460,803,454
03_21-14_16_27.703460,81807,496
03_21-14_16_27.704461,812,497
03_21-14_16_27.706460,810,495
03_21-14_16_27.708457,810,493
03_21-14_16_27.709457,813,494
03_21-14_16_27.710457,808,496
03_21-14_16_27.712455,814,494
03_21-14_16_27.713454,808,491
03_21-14_16_27.715455,817,484
03_21-14_16_27.717452,806,477
03_21-14_16_27.718452,816,469
03_21-14_16_27.719452,805,463
03_21-14_16_27.721449,815,457
03_21-14_16_27.722449,803,454
03_21-14_16_27.723448,81803,289
03_21-14_16_29.251902,804,292
03_21-14_16_29.258983,805,294
03_21-14_16_29.267077,804,296
03_21-14_16_29.279069,805,298
03_21-14_16_29.287063,806,299
03_21-14_16_29.295066,806,301
03_21-14_16_29.308052,806,303
03_21-14_16_29.316048,813,319
03_21-14_16_29.324043,803,354
03_21-14_16_29.332040,812,397
03_21-14_16_29.344130,800,448
03_21-14_16_29.353132,809,503
03_21-14_16_29.361121,801,494
03_21-14_16_29.373123,808,498
03_21-14_16_29.381109,803,497
03_21-14_16_29.389115,807,496
03_21-14_16_29.397099,807,496
03_21-14_16_29.410144,805,496
03_21-14_16_29.418140,810,496
03_21-14_16_29.426153,804,497
03_21-14_16_29.438130,812,496
03_21-14_16_29.448140,803,496
03_21-14_16_29.455122,813,496
03_21-14_16_29.463245,802,495
03_21-14_16_29.475236,812,498
03_21-14_16_29.483230,801,499
03_21-14_16_29.491225,810,494
03_21-14_16_29.504353,800,500
03_21-14_16_29.512321,808,492
03_21-14_16_29.520325,802,493
03_21-14_16_29.528307,807,496
03_21-14_16_29.540507,805,497
03_21-14_16_29.549529,805,497
03_21-14_16_29.557497,808,493
03_21-14_16_29.569501,803,489
03_21-14_16_29.577496,810,483
03_21-14_16_29.586492,803,479
03_21-14_16_29.675937,813,476
03_21-14_16_29.710406,803,476
03_21-14_16_29.768475,811,476
03_21-14_16_29.812451,801,480
03_21-14_16_29.814458,811,485
03_21-14_16_29.816444,799,492
03_21-14_16_29.818441,808,497
03_21-14_16_29.820439,802,494
03_21-14_16_29.821439,806,488
03_21-14_16_29.823442,803,485
03_21-14_16_29.825452,806,485
03_21-14_16_29.827436,807,485
03_21-14_16_29.828436,804,484
03_21-14_16_29.830438,810,482
03_21-14_16_29.832432,803,478
03_21-14_16_29.833448,811,470
